"","w_true","w_mode","w_low_H","w_hi_H","w_mean","w_low_E","w_hi_E","beta_par_true","beta_par_mode","beta_par_low_H","beta_par_hi_H","beta_par_mean","beta_par_low_E","beta_par_hi_E","k_true","k_mode","k_low_H","k_hi_H","k_mean","k_low_E","k_hi_E","BF","Gel_w","Gel_beta","Gel_k","post_size"
"1",0.687710084253922,0.688022355607124,0.508730690106123,0.860940578840417,0.68566647057837,0.495065974199745,0.848568054575502,0.3478117363411,0.346113090525757,0.303783206314843,0.398110187151533,0.349635839916727,0.302241632847164,0.397808657921718,2.05513716232963,1.83355580160336,1.39987505161833,2.41441932670387,1.89957761835848,1.43974188331999,2.46159854999523,NA,1.00403325529525,1.0033935949441,1.00327498624217,NA
"2",0.943758885376155,0.447361126275823,0.443924062102315,0.57632206059061,0.498647097001015,0.443924062102315,0.57632206059061,0.29062169813551,0.348920657737208,0.338323726155795,0.382931375161107,0.355604540002001,0.338323726155795,0.382931375161107,3.30093457968906,3.81237193671547,3.62810618579764,4.62187425140291,3.91168144771659,3.62810618579764,4.62187425140291,NA,Inf,Inf,Inf,NA
"3",0.537755443016067,0.427428776299974,0.426935839897429,0.651103601554934,0.539059260961102,0.426935839897429,0.658431940950139,0.419661095540505,0.30817790120794,0.30846675472824,0.473992309966643,0.403550790726112,0.30846675472824,0.483073279353021,5.18512837728485,2.99145364086228,2.98688287101847,7.53613452479326,5.41781027198464,2.98688287101847,7.93896924912344,NA,1.77682763557732,2.59157270967336,2.23380596411646,NA
"4",0.925716442288831,0.476539949614949,0.467438028921629,0.640358466901995,0.508956345288798,0.467438028921629,0.640358466901995,0.321775636868551,0.373668304548701,0.298370165816948,0.386286026220326,0.355621583275178,0.298370165816948,0.386286026220326,5.53319829306565,4.35528152357972,3.15381752957809,4.66085391491855,3.92706559810343,3.15381752957809,4.66085391491855,NA,Inf,Inf,Inf,NA
"5",0.526289861882105,0.504030509150765,0.332348646150423,0.603881326714966,0.474463467806126,0.326734055936774,0.600920766616649,0.290158130053896,0.284560479926026,0.251020173572646,0.310264543938564,0.280721408907023,0.250247758297102,0.31004965421778,2.94520403281786,2.93962256204176,2.2236381243151,3.70977272453127,2.95425770818679,2.25655315963642,3.77797922996416,NA,1.00487119732691,1.00388721354863,1.01229756730466,NA
"6",0.448608823120594,0.452569005456121,0.0335809719809128,0.589294492244488,0.330203705371284,0.0217799768192303,0.589294492244488,0.25401536381105,0.215009613343725,0.20294376830971,0.389772210746542,0.279009806405535,0.200797309608498,0.389772210746542,2.18666470632888,2.28652643187406,2.00990592381549,4.76952378258597,3.19579886274839,1.92189874433742,4.76952378258597,NA,2.50266637054993,7.70197422925305,8.09234215858136,NA
"7",0.849401433253661,0.47855095696472,0.422902750981982,0.525178195047003,0.481823877395521,0.422902750981982,0.525178195047003,0.3173881189432,0.371308742181124,0.307804160541855,0.373642963937497,0.345073927899253,0.307804160541855,0.373642963937497,5.14074820582755,3.30742130999382,3.16316838748753,4.50982820778481,3.53435945238478,3.16316838748753,4.50982820778481,NA,Inf,Inf,Inf,NA
"8",0.904781592776999,0.477347080261129,0.41760975420475,0.909992560863962,0.572862464553351,0.41760975420475,0.91286077632636,0.408877043228131,0.333911123351844,0.301239673304372,0.416879874402564,0.352962673981469,0.301239673304372,0.423335330885116,5.29907349753194,4.66220713580812,3.37170608807355,5.94075204378207,4.3656516996991,3.37170608807355,6.31785137152753,NA,67.8450423681769,10.4869540414335,3.48820384668168,NA
"9",0.427822704426944,0.308375716978135,0.0507054607458352,0.555447438564274,0.29812914859811,0.0497988652728484,0.554887367571195,0.495433867559768,0.49572000533469,0.454810481340034,0.536002762712665,0.495990499998596,0.457998843697113,0.539555975271032,4.64196680369787,3.64765121378555,2.49774295931321,5.51990810409632,3.91924547054234,2.59085288463234,5.63907066962865,NA,1.00759067330447,1.00728028707902,1.00328962040663,NA
"10",0.681539316894487,0.675863944927278,0.484285404503843,0.788406292588627,0.647122326318444,0.453908417822112,0.772845696286158,0.443710181745701,0.427048101641017,0.347541634789112,0.490165264982409,0.42112543335964,0.341410469732598,0.487005403427748,2.34588189655915,2.13946468441998,1.7029281718687,2.83169302014966,2.20287960563825,1.67642090020147,2.81068289132291,158113.625157822,1.00962133043525,1.00833245642076,1.00733769642966,12008
